Year,Country,Pilgrimage_Type,Total_Pilgrims,Male_Percentage,Female_Percentage,Average_Age,Average_Travel_Cost_USD,Visa_Approval_Rate,Flights_Arranged,Hotels_Booked,Satisfaction_Rating,Economic_Impact_USD
2000,Pakistan,Hajj,126958,60.93,39.07,33.5,9686.76,87.31,141,224,3.12,1680139375.66
2000,Pakistan,Umrah,180203,47.86,52.14,47.5,2092.32,90.94,433,201,4.98,421337844.37
2000,Pakistan,Ziyarat,352449,55.5,44.5,41.0,4557.91,87.74,189,197,3.73,1535860290.24
2000,Saudi Arabia,Hajj,89654,57.37,42.63,39.5,11823.92,83.54,326,144,3.34,598989565.63
2000,Saudi Arabia,Umrah,146699,63.84,36.16,44.9,5546.87,70.46,405,101,3.88,506165127.95
2000,Saudi Arabia,Ziyarat,261508,61.66,38.34,33.2,5606.14,75.28,407,11,3.85,1037878199.88
2000,India,Hajj,320139,48.7,51.3,57.1,9638.89,97.25,465,279,4.45,2550526780.37
2000,India,Umrah,45397,48.92,51.08,29.4,4915.97,81.27,357,62,4.17,327001451.98
2000,India,Ziyarat,437315,55.85,44.15,32.2,9923.07,72.16,346,18,4.54,3032081840.5
2000,Indonesia,Hajj,129375,45.28,54.72,34.0,8969.09,92.92,398,270,4.85,1335682176.13
2000,Indonesia,Umrah,188323,62.26,37.74,46.7,4974.43,71.84,426,71,3.65,1151894552.53
2000,Indonesia,Ziyarat,461551,50.49,49.51,44.8,5520.73,98.18,150,266,4.44,1875362034.88
2000,Malaysia,Hajj,378133,54.88,45.12,43.7,5989.18,70.74,480,188,3.06,2573636159.77
2000,Malaysia,Umrah,112059,56.27,43.73,48.9,2962.98,87.53,162,180,3.41,479068616.15
2000,Malaysia,Ziyarat,479950,50.8,49.2,32.8,11261.83,93.44,460,143,3.91,3883253405.45
2000,Turkey,Hajj,30939,62.85,37.15,44.2,9978.12,95.99,250,199,3.22,224723087.64
2000,Turkey,Umrah,459589,45.01,54.99,38.6,4700.2,74.78,430,146,3.97,2575852880.52
2000,Turkey,Ziyarat,18545,51.75,48.25,56.3,4893.63,85.04,252,189,3.73,133567709.7
2000,Bangladesh,Hajj,198075,49.94,50.06,48.9,8978.84,74.29,459,90,3.53,2626135678.85
2000,Bangladesh,Umrah,117859,46.03,53.97,36.4,11036.79,76.95,149,62,3.98,1932511874.4
2000,Bangladesh,Ziyarat,485671,56.85,43.15,30.4,5381.37,77.02,313,289,3.94,3877038153.58
2000,Egypt,Hajj,94045,55.72,44.28,30.7,10270.68,79.3,345,268,4.18,1137416600.95
2000,Egypt,Umrah,470298,59.22,40.78,52.3,5160.99,72.79,436,137,4.04,3246894350.09
2000,Egypt,Ziyarat,137874,51.82,48.18,31.4,11209.28,95.44,118,272,4.32,2035725115.9
2000,Nigeria,Hajj,112512,55.33,44.67,35.8,11960.66,98.0,472,46,4.77,926805399.47
2000,Nigeria,Umrah,274544,51.98,48.02,49.8,10919.66,95.73,139,170,4.28,1751209051.72
2000,Nigeria,Ziyarat,37711,60.71,39.29,48.1,7597.21,80.8,492,108,4.95,224592094.26
2000,Iran,Hajj,288501,55.97,44.03,48.8,8345.59,76.5,180,77,3.47,1987323982.67
2000,Iran,Umrah,140059,52.33,47.67,50.3,9069.87,78.93,195,31,3.49,1871190234.47
2000,Iran,Ziyarat,139508,54.73,45.27,55.2,6061.14,80.15,116,293,4.34,1153509425.34
2000,Iraq,Hajj,360323,59.45,40.55,36.4,1755.32,88.72,36,181,4.88,919583899.02
2000,Iraq,Umrah,303356,62.67,37.33,50.4,11507.25,79.59,321,190,4.14,5167531620.1
2000,Iraq,Ziyarat,129019,50.89,49.11,39.6,10436.94,79.19,147,27,4.11,1933873688.08
2000,Afghanistan,Hajj,464321,63.6,36.4,30.1,3693.65,89.46,170,136,4.04,2362248896.3
2000,Afghanistan,Umrah,202392,61.97,38.03,32.1,8943.57,86.03,189,256,3.84,1368815496.75
2000,Afghanistan,Ziyarat,277791,63.26,36.74,43.3,6765.92,93.15,340,273,4.4,2435457460.59
2000,United Arab Emirates,Hajj,489299,62.73,37.27,28.8,7578.08,82.72,466,60,3.93,3866071009.8
2000,United Arab Emirates,Umrah,186372,61.78,38.22,53.8,4127.64,71.13,290,63,4.07,635923392.26
2000,United Arab Emirates,Ziyarat,478351,60.4,39.6,34.5,8040.35,72.48,384,56,4.4,2455175869.39
2000,Qatar,Hajj,241175,64.52,35.48,43.5,4891.04,93.06,338,284,3.88,682345164.48
2000,Qatar,Umrah,357996,48.69,51.31,30.4,5997.3,89.97,148,67,4.83,2023239105.52
2000,Qatar,Ziyarat,182247,55.98,44.02,49.4,8432.07,78.12,291,198,4.48,1620246391.58
2000,Kuwait,Hajj,118429,59.6,40.4,29.4,7443.39,74.6,105,194,3.68,521678708.57
2000,Kuwait,Umrah,180150,45.81,54.19,53.7,8888.41,83.75,237,48,3.69,1544681108.28
2000,Kuwait,Ziyarat,293790,45.96,54.04,56.5,10810.14,77.57,413,259,4.87,3179213609.4
2000,Jordan,Hajj,309119,58.17,41.83,32.9,2240.97,88.63,495,169,4.88,745009361.37
2000,Jordan,Umrah,470585,56.47,43.53,31.9,10017.64,93.8,287,74,4.92,6625035301.93
2000,Jordan,Ziyarat,487859,50.48,49.52,34.4,5461.22,71.13,261,44,3.67,3079197975.11
2000,Morocco,Hajj,93668,61.9,38.1,28.7,10051.92,78.17,215,123,4.26,1296949466.15
2000,Morocco,Umrah,373035,53.36,46.64,57.0,7253.7,82.28,427,201,4.15,3332695929.45
2000,Morocco,Ziyarat,22955,52.44,47.56,51.3,5078.44,96.99,56,277,3.86,145821032.99
2000,Algeria,Hajj,117856,49.76,50.24,39.3,7110.44,84.4,236,196,3.2,463825115.77
2000,Algeria,Umrah,200004,63.11,36.89,30.7,4852.79,97.55,403,61,4.15,1098535631.24
2000,Algeria,Ziyarat,354044,46.83,53.17,46.1,7313.88,76.17,72,160,4.56,1588526914.61
2000,Tunisia,Hajj,94780,54.89,45.11,29.7,7270.05,82.8,234,230,3.7,425193322.19
2000,Tunisia,Umrah,208339,58.76,41.24,53.1,10602.12,94.32,193,150,3.45,1980555511.75
2000,Tunisia,Ziyarat,224930,59.12,40.88,30.4,2390.8,98.61,384,154,4.89,799115861.07
2000,Libya,Hajj,358411,52.0,48.0,49.2,6557.5,80.96,186,100,3.5,1951326023.91
2000,Libya,Umrah,20485,54.85,45.15,28.3,6420.94,71.63,495,10,4.36,97006406.16
2000,Libya,Ziyarat,333184,52.5,47.5,36.6,10620.29,76.48,153,67,3.02,5201181960.95
2000,Sudan,Hajj,301764,51.45,48.55,29.3,11208.75,96.65,183,236,4.39,1946348221.0
2000,Sudan,Umrah,338870,57.59,42.41,48.9,6272.68,88.2,393,268,4.8,1159413410.37
2000,Sudan,Ziyarat,346003,64.17,35.83,29.7,5642.48,73.1,392,17,3.34,2239009267.74
2000,Somalia,Hajj,369167,52.07,47.93,45.5,2316.21,98.26,211,154,3.56,779143979.09
2000,Somalia,Umrah,171619,50.42,49.58,32.0,2300.1,97.28,390,265,4.16,560206975.26
2000,Somalia,Ziyarat,463761,63.65,36.35,54.0,1974.8,70.76,308,74,3.96,1360277281.13
2000,Yemen,Hajj,133778,56.88,43.12,39.4,11684.1,94.42,480,107,3.07,990758736.41
2000,Yemen,Umrah,5404,46.13,53.87,53.9,10035.46,98.99,377,268,4.11,68819250.7
2000,Yemen,Ziyarat,278060,60.14,39.86,39.3,4031.39,75.95,20,60,3.55,792779777.83
2000,United States,Hajj,206152,58.43,41.57,46.5,5260.71,73.29,173,259,4.04,1379836787.15
2000,United States,Umrah,99074,51.16,48.84,52.5,11663.72,72.56,270,121,3.96,1063744814.16
2000,United States,Ziyarat,6252,57.41,42.59,49.1,3736.12,73.95,271,235,3.7,25458539.55
2000,United Kingdom,Hajj,143013,56.1,43.9,30.7,9127.17,85.88,491,39,4.24,1778298748.36
2000,United Kingdom,Umrah,252940,60.93,39.07,41.8,10341.96,92.3,359,78,4.96,2596585068.71
2000,United Kingdom,Ziyarat,74836,49.18,50.82,45.4,5086.41,85.58,170,192,4.17,342696300.96
2000,Canada,Hajj,158487,57.82,42.18,33.5,5129.51,96.01,214,164,4.34,546569600.42
2000,Canada,Umrah,126465,49.48,50.52,52.7,5123.37,80.08,41,10,4.07,554619983.34
2000,Canada,Ziyarat,229301,52.29,47.71,43.1,8749.15,71.14,268,56,4.26,1167118479.88
2000,Australia,Hajj,191717,48.14,51.86,39.3,1527.25,95.18,27,122,4.19,435175733.67
2000,Australia,Umrah,398518,52.41,47.59,42.5,7991.68,80.7,235,163,3.07,2396382497.07
2000,Australia,Ziyarat,403342,58.74,41.26,53.3,9370.97,70.88,293,236,3.79,2286227485.94
2000,Germany,Hajj,436734,52.55,47.45,28.6,4881.83,76.13,493,135,3.24,2964689183.85
2000,Germany,Umrah,376923,54.48,45.52,38.7,8312.64,83.91,247,120,4.47,3314144729.89
2000,Germany,Ziyarat,475951,53.63,46.37,31.8,4479.65,80.53,301,235,3.49,2128357824.43
2000,France,Hajj,117581,57.12,42.88,35.1,2568.72,74.43,131,13,4.7,177561266.74
2000,France,Umrah,343269,48.47,51.53,54.9,2342.45,85.21,59,238,4.96,492134647.92
2000,France,Ziyarat,127177,56.52,43.48,55.5,1555.65,98.28,113,71,4.86,209073035.42
2000,Italy,Hajj,346383,54.53,45.47,53.2,3653.31,98.07,343,284,3.4,1564402171.72
2000,Italy,Umrah,240659,47.3,52.7,46.3,4530.62,86.86,158,268,3.1,912178489.44
2000,Italy,Ziyarat,70545,55.97,44.03,44.5,3618.17,89.85,103,110,3.01,157407848.49
2000,Spain,Hajj,98070,54.43,45.57,40.4,5163.12,96.96,337,245,3.82,725564147.1
2000,Spain,Umrah,368978,63.77,36.23,33.4,2198.21,91.49,425,69,4.68,518913699.5
2000,Spain,Ziyarat,440048,60.01,39.99,52.0,10163.89,75.41,358,87,4.05,3841204765.29
2000,China,Hajj,19060,56.77,43.23,48.5,6245.46,90.7,307,188,4.25,123773944.25
2000,China,Umrah,107974,55.05,44.95,35.0,10945.53,81.13,481,113,3.46,1232473370.8
2000,China,Ziyarat,46157,63.8,36.2,46.8,5016.51,74.04,34,120,4.24,239294869.28
2000,Japan,Hajj,407662,56.46,43.54,57.9,9400.23,90.5,430,298,3.07,4099941981.19
2000,Japan,Umrah,37265,54.88,45.12,50.6,2580.62,85.56,322,237,3.91,106164100.64
2000,Japan,Ziyarat,396182,60.95,39.05,32.5,3907.14,90.95,149,104,4.2,1649341434.96
2000,South Korea,Hajj,497313,50.04,49.96,38.4,3406.78,96.35,57,143,3.8,1629864847.56
2000,South Korea,Umrah,81077,57.3,42.7,55.4,2960.72,72.92,130,113,4.74,343774688.34
2000,South Korea,Ziyarat,304363,63.38,36.62,51.7,1741.74,88.89,111,296,4.21,489901271.17
2000,Russia,Hajj,180399,61.81,38.19,55.3,2789.51,76.84,365,119,3.37,673058554.18
2000,Russia,Umrah,499592,62.4,37.6,43.6,7708.39,81.57,476,146,3.41,4959343221.16
2000,Russia,Ziyarat,365089,51.67,48.33,39.9,7142.65,96.68,405,219,3.96,3698908564.78
2000,Brazil,Hajj,142855,49.49,50.51,41.6,2979.0,75.12,474,189,3.84,602108959.56
2000,Brazil,Umrah,388152,60.61,39.39,36.3,3811.02,76.17,68,93,3.92,1564024290.51
2000,Brazil,Ziyarat,160989,46.71,53.29,57.9,6773.05,87.27,160,224,3.85,1417264830.19
2000,South Africa,Hajj,98501,49.1,50.9,33.7,1883.77,83.69,443,28,3.13,236678267.66
2000,South Africa,Umrah,184374,55.55,44.45,44.0,6551.42,84.41,454,141,3.36,1644916527.25
2000,South Africa,Ziyarat,307950,60.06,39.94,36.2,10923.02,85.27,106,64,3.31,4090219299.9
2000,Kenya,Hajj,479460,53.16,46.84,44.6,4165.83,75.69,274,63,3.68,2136051782.27
2000,Kenya,Umrah,44986,58.05,41.95,35.1,2544.13,77.05,97,297,4.71,152243972.35
2000,Kenya,Ziyarat,386379,63.89,36.11,32.2,5767.12,79.4,485,16,4.27,2753958906.43
2000,Ethiopia,Hajj,458716,45.53,54.47,33.4,7621.94,82.22,21,206,3.68,2655176577.02
2000,Ethiopia,Umrah,235785,52.26,47.74,29.0,10221.87,80.01,275,231,3.73,3280396623.3
2000,Ethiopia,Ziyarat,125674,63.97,36.03,50.9,2971.19,95.19,139,68,4.79,485367684.06
2000,Thailand,Hajj,187992,54.7,45.3,43.4,9287.71,90.27,300,210,3.28,2330808455.45
2000,Thailand,Umrah,121739,47.65,52.35,55.0,8757.83,89.81,345,155,4.06,1402070878.18
2000,Thailand,Ziyarat,193456,50.48,49.52,44.6,8339.91,94.06,106,126,3.02,1027554860.56
2000,Singapore,Hajj,86182,62.48,37.52,45.9,7805.43,89.29,474,182,4.68,608366193.06
2000,Singapore,Umrah,165445,55.38,44.62,29.4,3245.98,91.4,326,190,4.21,400275697.8
2000,Singapore,Ziyarat,62492,61.74,38.26,41.1,11112.89,90.92,251,236,4.9,622693150.78
2000,Philippines,Hajj,466463,63.74,36.26,50.0,3756.87,70.9,167,236,4.68,2359500116.99
2000,Philippines,Umrah,160130,56.94,43.06,38.0,9594.58,73.09,220,26,3.83,1851223630.98
2000,Philippines,Ziyarat,88559,53.7,46.3,35.4,10100.57,93.18,191,111,4.18,770138032.91
2000,Nepal,Hajj,130995,61.15,38.85,56.9,9795.14,90.03,322,21,4.08,1761646523.42
2000,Nepal,Umrah,207503,57.78,42.22,50.8,9103.08,88.48,219,34,4.81,2165954181.62
2000,Nepal,Ziyarat,262594,64.75,35.25,56.3,1913.98,90.46,218,291,4.14,711423942.93
2000,Sri Lanka,Hajj,49813,47.41,52.59,49.9,3522.29,73.34,334,224,4.59,218453835.9
2000,Sri Lanka,Umrah,318715,61.89,38.11,37.6,10203.61,71.07,178,161,3.46,2018110545.15
2000,Sri Lanka,Ziyarat,215017,62.7,37.3,43.9,6130.84,81.73,58,24,4.61,1368857006.2
2000,Uzbekistan,Hajj,151389,51.38,48.62,46.8,10802.77,87.86,401,236,4.74,852494705.3
2000,Uzbekistan,Umrah,296574,48.71,51.29,39.5,11292.19,72.03,321,38,4.53,3020539533.02
2000,Uzbekistan,Ziyarat,78972,54.6,45.4,45.4,4352.71,81.55,433,74,3.48,209845723.31
2000,Kazakhstan,Hajj,38933,50.94,49.06,53.6,9013.31,87.08,451,202,4.82,191284112.2
